Question,Action,Reason,Original_File,New_File
'छिड़काव' के समय 'दूरी'?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
'कीटों का आर्थिक नुकसान स्तर' (ETL) क्या है?,Dropped,"Duplicate question, shorter answer",pest.csv,pest_advanced.csv
'कीटों का भौतिक नियंत्रण'?,Replaced,Found better quality (longer) answer,miscellaneous.csv,pest_advanced.csv
'धान का पत्ता लपेटक' और 'नाइट्रोजन'?,Dropped,"Duplicate question, shorter answer",pest.csv,pest_advanced.csv
'मक्का का तना छेदक' और 'डेड हार्ट'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'गन्ने का पायरिला' और 'बारिश'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कपास का सफेद मक्खी' प्रकोप?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'मित्र कीट' और 'रसायन'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कीटों का भौतिक नियंत्रण' और 'हाथ'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'दीमक' के लिए 'बोरिक एसिड'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'फेरोमोन ट्रैप' और 'कीट निगरानी'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कीटनाशक' और 'गर्भवती महिलाएं'?,Dropped,"Duplicate question, shorter answer",pest.csv,pest_advanced.csv
'जैविक दवाओं' का प्रयोग और 'नमी'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'दशपर्णी अर्क' और 'खर्च'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'प्रकाश प्रपंच' और 'कीटों का भ्रम'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'फेरोमोन लूअर' की शेल्फ लाइफ?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कीटनाशक' और 'जल प्रदूषण'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'छिड़काव' के समय 'दूरी'?,Replaced,Found better quality (longer) answer,crop_safety_2.csv,pest_advanced.csv
'कीटों का आर्थिक नुकसान' और 'मुनाफा'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कीटनाशकों' के खाली पैकेट और 'पर्यावरण'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'छिड़काव' के समय 'पानी' की शुद्धता?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'जैविक कीटनाशक' और 'भविष्य'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कीटों का जीवन चक्र' और 'तापमान'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'नीम का काढ़ा' और 'फलों' की सुरक्षा?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कीट प्रबंधन' में विशेषज्ञों का अंतिम संदेश?,Replaced,Found better quality (longer) answer,crop_safety_2.csv,pest_advanced.csv
'दशपर्णी अर्क' और 'तीखापन'?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest_advanced.csv
'गौमूत्र' का वैज्ञानिक लाभ?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'कीटों का एकीकृत प्रबंधन' और 'कीमत'?,Replaced,Found better quality (longer) answer,pest.csv,pest_advanced.csv
'छिड़काव' के समय ' फ्लैट फैन' नोजल?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest_advanced.csv
आलू का 'अगेती झुलसा' (Early Blight) क्या है?,Dropped,"Duplicate question, shorter answer",disease.csv,potato.csv
दलहनी फसलों की सफल खेती का 'मूल मंत्र'?,Dropped,"Duplicate question, shorter answer",pulses.csv,pulses.csv
मृदा स्वास्थ्य कार्ड?,Dropped,"Duplicate question, shorter answer",rice.csv,rice.csv
मृदा सौरीकरण (Soil Solarization) क्या है?,Replaced,Found better quality (longer) answer,bio_control.csv,soil.csv
राइजोबियम कल्चर (Rhizobium) क्या है?,Replaced,Found better quality (longer) answer,pulses.csv,soil.csv
गन्ने का 'लाल सड़न' (Red Rot) रोग क्या है?,Replaced,Found better quality (longer) answer,disease.csv,sugarcane.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,Dropped,"Duplicate question, shorter answer",cabbage.csv,tomato.csv
रोपाई के समय पौधों की दूरी क्या रखें?,Dropped,"Duplicate question, shorter answer",cauliflower.csv,tomato.csv
टमाटर का 'लीफ कर्ल' (Leaf Curl) रोग क्या है?,Dropped,"Duplicate question, shorter answer",disease.csv,tomato.csv
टमाटर की नर्सरी कैसे तैयार करें?,Replaced,Found better quality (longer) answer,tomato.csv,vegetables.csv
बैंगन का 'छोटी पत्ती' (Little Leaf) रोग क्या है?,Replaced,Found better quality (longer) answer,disease.csv,vegetables.csv
