Question,Answer,Category,Crop,Language,Source_File
'कीटनाशकों' को बच्चों की पहुँच से दूर क्यों रखें?,क्योंकि ये अत्यंत जहरीले रसायन हैं और मामूली लापरवाही भी जानलेवा हो सकती है।,Plant Protection,General,hi,crop_safety_2.csv
'कीटों का आर्थिक नुकसान स्तर' (ETL) क्या है?,वह स्तर जब कीटों की संख्या इतनी बढ़ जाए कि दवा का खर्च फसल के नुकसान से कम हो। दवा तभी छिड़कनी चाहिए जब कीट ETL पार करें।,Pests,General,hi,pest.csv
'कीटों का आर्थिक नुकसान स्तर' (ETL) क्या है?,यह कीटों की वह संख्या है जिस पर फसल को होने वाला नुकसान दवाओं और छिड़काव के खर्च के बराबर होता है।,Pests,General,hi,pest_advanced.csv
'कीटों का आर्थिक नुकसान' और 'मुनाफा'?,"अनावश्यक दवा छिड़कने से बचत कम होती है, इसलिए समझदारी से फैसला लें।",Pests,General,hi,pest.csv
'कीटों का आर्थिक नुकसान' और 'मुनाफा'?,"अनावश्यक दवा छिड़कने से बचत कम होती है, इसलिए केवल जरूरत होने पर ही रसायनों का प्रयोग करें।",Pests,General,hi,pest_advanced.csv
'कीटों का एकीकृत प्रबंधन' और 'कीमत'?,"शुरुआत में थोड़ा महंगा लग सकता है, लेकिन दवाओं का खर्च कम होने से अंत में मुनाफा अधिक होता है।",Pests,General,hi,pest_advanced.csv
'कीटों का एकीकृत प्रबंधन' और 'कीमत'?,"IPM अपनाने से शुरू in मेहनत अधिक लग सकती है, लेकिन लंबे समय in यह बहुत अधिक बचत देता है।",Pests,General,hi,pest.csv
'कीटों का जीवन चक्र' और 'तापमान'?,अत्यधिक गर्मी (40°C+) में कुछ कीटों के अंडे खुद ही सूखकर नष्ट हो जाते हैं।,Pests,General,hi,pest_advanced.csv
'कीटों का जीवन चक्र' और 'तापमान'?,अत्यधिक गर्मी in कुछ कीटों के अंडे खुद ही सूखकर नष्ट हो जाते हैं।,Pests,General,hi,pest.csv
'कीटों का भौतिक नियंत्रण' और 'हाथ'?,बड़ी सुंडियों को चिमटी या हाथ से चुनकर मारना छोटे खेतों के लिए सबसे सस्ता उपाय है।,Pests,General,hi,pest_advanced.csv
'कीटों का भौतिक नियंत्रण' और 'हाथ'?,बड़ी सुंडियों को हाथ से चुनकर मारना छोटे किसानों के लिए सबसे सस्ता उपाय है।,Pests,General,hi,pest.csv
'कीटों का भौतिक नियंत्रण'?,"हाथों से सुंडियों को पकड़ना, पौधों को हिलाकर कीटों को गिराना और उन्हें नष्ट करना।",General,General,hi,miscellaneous.csv
'कीटों का भौतिक नियंत्रण'?,"हाथों से सुंडियों को पकड़ना, जाल लगाना या पौधों को हिलाकर कीटों को गिराकर नष्ट करना।",Pests,General,hi,pest_advanced.csv
'गन्ने का पायरिला' और 'बारिश'?,भारी बारिश से पायरिला के बच्चे (Nymphs) धुल जाते हैं और प्रकोप कम होता है।,Pests,Sugarcane,hi,pest.csv
'गन्ने का पायरिला' और 'बारिश'?,भारी बारिश से पायरिला के बच्चे (Nymphs) धुल जाते हैं और प्रकोप कम हो जाता है।,Pests,Sugarcane,hi,pest_advanced.csv
'गौमूत्र' और 'नीम' का मेल?,दोनों को मिलाकर छिड़कने से कीट भागते हैं और फसल को नाइट्रोजन भी मिलती है।,Pests,General,hi,pest.csv
'गौमूत्र' और 'नीम' का मेल?,दोनों को मिलाकर छिड़कने से कीट भागते हैं और फसल को नाइट्रोजन का पोषण भी मिलता है।,Plant Protection,General,hi,crop_safety_2.csv
'गौमूत्र' का वैज्ञानिक लाभ?,गौमूत्र में यूरिया के साथ-साथ प्राकृतिक एंटी-सेप्टिक गुण होते हैं जो रोगों और कीटों को रोकते हैं।,Pests,General,hi,pest_advanced.csv
'गौमूत्र' का वैज्ञानिक लाभ?,गौमूत्र in यूरिया के साथ-साथ कई सूक्ष्म पोषक तत्व और कीट भगाने वाले तत्व होते हैं।,Pests,General,hi,pest.csv
'छिड़काव' के समय ' फ्लैट फैन' नोजल?,खरपतवार नाशकों के लिए फ्लैट फैन नोजल का ही प्रयोग करें ताकि दवा का फैलाव सही हो।,Pests,General,hi,pest_advanced.csv
'छिड़काव' के समय ' फ्लैट फैन' नोजल?,खरपतवार नाशी के लिए फ्लैट फैन और कीटनाशकों के लिए कोन नोजल श्रेष्ठ है।,Pests,General,hi,pest.csv
'छिड़काव' के समय ' फ्लैट फैन' नोजल?,खरपतवार नाशकों के लिए फ्लैट फैन नोजल श्रेष्ठ है क्योंकि यह दवा को एक समान परत में फैलाता है।,Plant Protection,General,hi,crop_safety_2.csv
'छिड़काव' के समय 'दूरी'?,स्प्रे की नोक और पत्तियों के बीच कम से कम 1 फीट की दूरी बनाए रखें ताकि छिड़काव बराबर हो।,Pests,General,hi,pest_advanced.csv
'छिड़काव' के समय 'दूरी'?,नोक और पत्तियों के बीच कम से कम 1 फीट की दूरी बनाए रखें।,Pests,General,hi,pest.csv
'छिड़काव' के समय 'दूरी'?,नोक को पत्तियों से कम से कम 30 सेमी की दूरी पर रखकर ही छिड़काव करना चाहिए।,Plant Protection,General,hi,crop_safety_2.csv
'छिड़काव' के समय 'पानी' की शुद्धता?,"हमेशा साफ पानी का ही घोल बनाएं, गंदे पानी से दवा का असर कम हो जाता है।",Pests,General,hi,pest.csv
'छिड़काव' के समय 'पानी' की शुद्धता?,"हमेशा साफ और मीठे पानी का ही घोल बनाएं, गंदे पानी से दवाओं की प्रभावशीलता कम हो जाती है।",Pests,General,hi,pest_advanced.csv
'जैविक कीटनाशक' और 'प्रमाणन'?,जैविक उत्पादों को बेचने के लिए रसायनों से पूरी तरह मुक्त खेती का प्रमाण पत्र जरूरी है।,Pests,General,hi,pest.csv
'जैविक कीटनाशक' और 'प्रमाणन'?,जैविक उत्पादों को बेचने के लिए प्रमाणित जैविक कीटनाशकों का ही रिकॉर्ड रखना अनिवार्य है।,Plant Protection,General,hi,crop_safety_2.csv
'जैविक कीटनाशक' और 'भविष्य'?,रसायन मुक्त भारत के लिए जैविक कीटनाशकों का उपयोग ही एकमात्र विकल्प है।,Pests,General,hi,pest.csv
'जैविक कीटनाशक' और 'भविष्य'?,रसायन मुक्त भारत और स्वस्थ समाज के लिए जैविक कीटनाशकों का उपयोग ही एकमात्र विकल्प है।,Pests,General,hi,pest_advanced.csv
'जैविक कीटनाशक' बनाने का सही समय?,इन्हें ताज़ा बनाना और 24 से 48 घंटे के भीतर प्रयोग करना सबसे अच्छा परिणाम देता है।,Plant Protection,General,hi,crop_safety_2.csv
'जैविक कीटनाशक' बनाने का सही समय?,इन्हें ताज़ा बनाना और 24-48 घंटे के भीतर प्रयोग करना सबसे अच्छा है।,Pests,General,hi,pest.csv
'जैविक दवाओं' का प्रयोग और 'नमी'?,"शाम के समय जब ओस गिरने वाली हो या नमी अधिक हो, जैविक दवाएं सबसे अच्छा काम करती हैं।",Pests,General,hi,pest_advanced.csv
'जैविक दवाओं' का प्रयोग और 'नमी'?,"शाम के समय जब ओस गिरने वाली हो, जैविक दवाएं सबसे अच्छा काम करती हैं।",Pests,General,hi,pest.csv
'दशपर्णी अर्क' और 'खर्च'?,"यह गाँव में मुफ्त उपलब्ध पत्तियों से तैयार होता है, जिससे किसान की खेती की लागत 30-40% कम होती है।",Pests,General,hi,pest_advanced.csv
'दशपर्णी अर्क' और 'खर्च'?,यह मुफ्त in तैयार होने वाला कीटनाशक है जो छोटे किसानों की आय बचाता है।,Pests,General,hi,pest.csv
'दशपर्णी अर्क' और 'तीखापन'?,इसमें मौजूद तीखी पत्तियां कीटों की पाचन शक्ति को खराब कर देती हैं जिससे वे मर जाते हैं।,Pests,General,hi,pest_advanced.csv
'दशपर्णी अर्क' और 'तीखापन'?,इसमें मौजूद तीखी पत्तियां कीटों के स्वाद ग्रंथियों को खराब कर देती हैं जिससे वे खाना बंद कर देते हैं।,Plant Protection,General,hi,crop_safety_2.csv
'दशपर्णी अर्क' किन कीटों पर प्रभावी है?,यह लगभग सभी रस चूसने वाले कीटों और छोटी इल्लियों पर बहुत प्रभावी है।,Pests,General,hi,pest.csv
'दशपर्णी अर्क' किन कीटों पर प्रभावी है?,"यह लगभग सभी रस चूसने वाले कीटों (एफिड, थ्रिप्स) और छोटी इल्लियों पर बहुत प्रभावी है।",Plant Protection,General,hi,crop_safety_2.csv
'दीमक' के लिए 'बोरिक एसिड'?,बोरिक एसिड का सीमित प्रयोग दीमक के नियंत्रण in सहायक हो सकता है।,Pests,General,hi,pest.csv
'दीमक' के लिए 'बोरिक एसिड'?,चीनी के घोल में बोरिक एसिड मिलाकर बिलों के पास रखना दीमक को नियंत्रित करने में सहायक है।,Pests,General,hi,pest_advanced.csv
'धान का पत्ता लपेटक' और 'नाइट्रोजन'?,"अत्यधिक यूरिया का प्रयोग पत्तियों को बहुत हरा और कोमल बनाता है, जो इस कीट को आकर्षित करता है।",Pests,Rice,hi,pest_advanced.csv
'धान का पत्ता लपेटक' और 'नाइट्रोजन'?,"अत्यधिक यूरिया का प्रयोग पत्तियों को बहुत हरा और कोमल बनाता है, जो इस कीट को आकर्षित करता है।",Pests,Rice,hi,pest.csv
'नीम का काढ़ा' और 'फलों' की सुरक्षा?,फलों के पकने के समय रसायनों के बजाय नीम का स्प्रे करना स्वास्थ्य के लिए सुरक्षित है।,Pests,General,hi,pest_advanced.csv
'नीम का काढ़ा' और 'फलों' की सुरक्षा?,फलों के पकने के समय नीम का स्प्रे रसायनों से अधिक सुरक्षित है।,Pests,General,hi,pest.csv
'नीम की खली' का कीटों पर असर?,यह मिट्टी के हानिकारक कीटों और नीमेटोड को भगाने in बहुत प्रभावी है।,Pests,General,hi,pest.csv
'नीम की खली' का कीटों पर असर?,"यह दीमक, सफेद ग्रब और नीमेटोड जैसे हानिकारक मिट्टी के कीड़ों को भगाने में सक्षम है।",General,General,hi,agri_miscellaneous_2.csv
'प्रकाश प्रपंच' और 'कीटों का भ्रम'?,"रोशनी से कीट रास्ता भटक जाते हैं और प्रजनन के लिए साथी नहीं ढूंढ पाते, जिससे उनकी आबादी घटती है।",Pests,General,hi,pest_advanced.csv
'प्रकाश प्रपंच' और 'कीटों का भ्रम'?,रोशनी से कीट रास्ता भटक जाते हैं और प्रजनन के लिए साथी नहीं ढूंढ पाते।,Pests,General,hi,pest.csv
'फेरोमोन ट्रैप' और 'कीट निगरानी'?,ट्रैप यह बताता है कि खेत में कीटों का हमला कब शुरू होने वाला है और दवाओं का छिड़काव कब करना है।,Pests,General,hi,pest_advanced.csv
'फेरोमोन ट्रैप' और 'कीट निगरानी'?,यह बताता है कि खेत in कीटों का हमला कब शुरू होने वाला है।,Pests,General,hi,pest.csv
'फेरोमोन लूअर' की शेल्फ लाइफ?,"सीलबंद पैकेट में यह 1 साल तक सुरक्षित रह सकता है, लेकिन धूप से बचाना जरूरी है।",Pests,General,hi,pest_advanced.csv
'फेरोमोन लूअर' की शेल्फ लाइफ?,सीलबंद पैकेट in यह 1 साल तक सुरक्षित रह सकता है।,Pests,General,hi,pest.csv
'मक्का का तना छेदक' और 'डेड हार्ट'?,"जब इल्ली मुख्य गोभ को काट देती है, तो बीच की पत्ती सूख जाती है जिसे 'डेड हार्ट' कहते हैं।",Pests,Maize,hi,pest_advanced.csv
'मक्का का तना छेदक' और 'डेड हार्ट'?,"जब इल्ली मुख्य गोभ को काट देती है, तो बीच की पत्ती सूख जाती है जिसे डेड हार्ट कहते हैं।",Pests,Maize,hi,pest.csv
'मित्र कीट' और 'रसायन'?,"अंधाधुंध छिड़काव से मित्र कीट (जैसे- लेडीबर्ड बीटल) पहले मरते हैं, जिससे शत्रु कीटों की संख्या और बढ़ती है।",Pests,General,hi,pest_advanced.csv
'मित्र कीट' और 'रसायन'?,"अंधाधुंध छिड़काव से मित्र कीट पहले मरते हैं, जिससे शत्रु कीटों की संख्या और बढ़ती है।",Pests,General,hi,pest.csv
'सिट्रस कैंकर' से नींबू की सुरक्षा?,प्रभावित टहनियों को काटकर जलाएं और 1% बोर्डो मिश्रण का छिड़काव करें।,Plant Protection,General,hi,crop_safety_2.csv
'सिट्रस कैंकर' से नींबू की सुरक्षा?,संक्रमित टहनियों को काटकर जलाना और स्ट्रेप्टोसायक्लिन का छिड़काव करना जरूरी है।,Plant Protection,General,hi,crop_safety.csv
आम का 'गुच्छा रोग' (Malformed Flowers) क्या है?,इसमें फूल और कलियां गुच्छे के रूप in बदल जाती हैं और फल नहीं बनते। इसे प्रभावित हिस्सों को काटकर दूर किया जा सकता है।,Disease,Mango,hi,disease.csv
आम का 'गुच्छा रोग' (Malformed Flowers) क्या है?,इसमें फूल और कलियां गुच्छे के रूप में बदल जाती हैं और फल नहीं बनते। प्रभावित हिस्सों को 15-20 सेमी नीचे से काटकर जला देना चाहिए।,Crop,Mango,hi,mango.csv
आलू का 'अगेती झुलसा' (Early Blight) क्या है?,इसमें पत्तियों पर छोटे भूरे रंग के धब्बे बनते हैं जिनमें गोल घेरे (Concentric rings) दिखाई देते हैं।,Disease,Potato,hi,disease.csv
आलू का 'अगेती झुलसा' (Early Blight) क्या है?,इसमें पत्तियों पर छोटे भूरे रंग के धब्बे बनते हैं जिनमें गोल घेरे (Concentric rings) दिखाई देते हैं।,Crop,Potato,hi,potato.csv
कीटनाशकों का 'प्रतीक्षा काल' (Waiting Period) क्या है?,दवा छिड़कने और फसल की तुड़ाई/कटाई के बीच का वह समय जब तक दवा का जहरीला असर खत्म न हो जाए।,Pests,General,hi,pest.csv
कीटनाशकों का 'प्रतीक्षा काल' (Waiting Period) क्या है?,दवा छिड़कने और फसल की तुड़ाई के बीच का समय ताकि रसायनों का जहरीला असर खत्म हो जाए।,Plant Protection,General,hi,insecticides.csv
क्या तेज बारिश के बाद छिड़काव दोबारा करना चाहिए?,"यदि छिड़काव के 2 घंटे के भीतर तेज बारिश हो जाए, तो दवा धुल सकती है और दोबारा छिड़काव की जरूरत पड़ सकती है।",Plant Protection,General,hi,fungicides.csv
क्या तेज बारिश के बाद छिड़काव दोबारा करना चाहिए?,"यदि छिड़काव के 2-4 घंटे के भीतर बारिश हो जाए, तो दवा धुल सकती है और असर कम हो सकता है।",Plant Protection,General,hi,herbicides.csv
गन्ने का 'लाल सड़न' (Red Rot) रोग क्या है?,"यह गन्ने का कैंसर है। तना चीरने पर अंदर से लाल दिखाई देता है और शराब जैसी गंध आती है। इसका कोई इलाज नहीं है, बचाव ही एकमात्र उपाय है।",Crop,Sugarcane,hi,sugarcane.csv
गन्ने का 'लाल सड़न' (Red Rot) रोग क्या है?,तने को चीरने पर अंदर का हिस्सा लाल दिखाई देता है और उसमें सफेद आड़ी पट्टियां व शराब जैसी गंध आती है।,Disease,Sugarcane,hi,disease.csv
टमाटर का 'लीफ कर्ल' (Leaf Curl) रोग क्या है?,यह वायरस के कारण होता है जिसमें पत्तियां मुड़कर छोटी हो जाती हैं। इसे सफेद मक्खी (Whitefly) फैलाती है।,Disease,Tomato,hi,disease.csv
टमाटर का 'लीफ कर्ल' (Leaf Curl) रोग क्या है?,पत्तियां मुड़कर छोटी और गुच्छेदार हो जाती हैं। यह वायरस सफेद मक्खी (Whitefly) द्वारा फैलता है।,Crop,Tomato,hi,tomato.csv
टमाटर की नर्सरी कैसे तैयार करें?,बीज को प्रो-ट्रे या ऊँची उठी हुई क्यारियों में बोएं। 150-200 ग्राम बीज एक एकड़ के लिए पर्याप्त है। 25-30 दिन में पौधे तैयार हो जाते हैं।,Crop,Tomato,hi,vegetables.csv
टमाटर की नर्सरी कैसे तैयार करें?,बीज को प्रो-ट्रे या ऊँची उठी हुई क्यारियों में बोएं। क्यारियों में गोबर की खाद और ट्राइकोडर्मा मिलाएं।,Crop,Tomato,hi,tomato.csv
ट्राइकोडर्मा विरिडी (Trichoderma viride) क्या है?,यह एक फायदेमंद फफूंद है जो मिट्टी में रहने वाले हानिकारक कवकों को नष्ट करके उकठा (Wilt) और जड़ सड़न जैसे रोगों को रोकती है।,Plant Protection,General,hi,bio_control.csv
ट्राइकोडर्मा विरिडी (Trichoderma viride) क्या है?,यह एक मित्र फफूंद (जैविक फफूंदनाशक) है जो मिट्टी के हानिकारक कवक को खाकर नष्ट करती है।,Plant Protection,General,hi,fungicides.csv
दलहनी फसलों की सफल खेती का 'मूल मंत्र'?,सही किस्म + बीज उपचार + संतुलित फास्फोरस + जल निकास + कीट नियंत्रण।,Crop,Pulses,hi,pulses.csv
दलहनी फसलों की सफल खेती का 'मूल मंत्र'?,सही समय पर बुआई और सही कीट प्रबंधन ही अधिक लाभ देता है।,Crop,Pulses,hi,pulses.csv
दवाओं का 'अदला-बदली' (Rotation) क्यों जरूरी है?,कीटों में दवा के प्रति प्रतिरोध (Resistance) को रोकने के लिए अलग-अलग रासायनिक समूहों के कीटनाशकों का प्रयोग करें।,Plant Protection,General,hi,insecticides.csv
दवाओं का 'अदला-बदली' (Rotation) क्यों जरूरी है?,प्रतिरोध से बचने के लिए अलग-अलग रासायनिक समूह के फफूंदनाशकों को बारी-बारी से उपयोग करना चाहिए।,Plant Protection,General,hi,fungicides.csv
दशपर्णी अर्क (Dashparni Arka) क्या है?,यह 10 तरह की कड़वी पत्तियों से बनाया गया एक शक्तिशाली जैविक कीटनाशक है जो लगभग हर तरह के कीट पर प्रभावी है।,Plant Protection,General,hi,bio_control.csv
दशपर्णी अर्क (Dashparni Arka) क्या है?,"नीम सहित 10 तरह की कड़वी पत्तियों को गौमूत्र में सड़ाकर बनाया गया कीटनाशक, जो लगभग हर प्रकार के कीट पर प्रभावी है।",Business,Organic Farming,hi,organic_farming.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,यह छोटे पौधों के तने गलने की बीमारी है। इससे बचने के लिए बीज उपचार करें और जल निकास का पूरा प्रबंध रखें।,Crop,Tomato,hi,tomato.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,यह फूलगोभी की नर्सरी की मुख्य बीमारी है। इससे बचने के लिए बीज उपचार करें और जल निकास का पूरा प्रबंध रखें।,Crop,Cauliflower,hi,cauliflower.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,यह पत्तागोभी की नर्सरी की मुख्य बीमारी है। इससे बचने के लिए बीज उपचार करें और जल निकास का पूरा प्रबंध रखें।,Crop,Cabbage,hi,cabbage.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,यह मिर्च की नर्सरी की सबसे गंभीर बीमारी है। इससे बचने के लिए बीज उपचार करें और जल निकास का प्रबंध रखें।,Crop,Chilli,hi,chilli.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,यह छोटे पौधों के तने गलने की बीमारी है। इससे बचने के लिए बीज उपचार करें और जल निकास का प्रबंध रखें।,Crop,Brinjal,hi,brinjal.csv
फर्टिगेशन (Fertigation) क्या है?,ड्रिप सिंचाई के माध्यम से पानी के साथ घुलनशील उर्वरकों को सीधे जड़ों तक पहुँचाने की तकनीक।,Irrigation,General,hi,irrigation.csv
फर्टिगेशन (Fertigation) क्या है?,सिंचाई के पानी (विशेषकर ड्रिप सिंचाई) के साथ उर्वरकों को मिलाकर सीधे पौधों की जड़ों तक पहुँचाना फर्टिगेशन कहलाता है।,Fertilizer,General,hi,fertilizer.csv
बाग लगाने के लिए पौधों की दूरी क्या रखें?,पारंपरिक विधि में 10 x 10 मीटर की दूरी पर पौधे लगाए जाते हैं।,Crop,Litchi,hi,litchi.csv
बाग लगाने के लिए पौधों की दूरी क्या रखें?,पारंपरिक विधि में 10 x 10 मीटर और सघन बागवानी (जैसे आम्रपाली) में 5 x 5 या 2.5 x 2.5 मीटर की दूरी रखी जाती है।,Crop,Mango,hi,mango.csv
बाग लगाने के लिए पौधों की दूरी क्या रखें?,पारंपरिक विधि में 6 x 6 मीटर और सघन बागवानी में 3 x 3 या 3 x 1.5 मीटर की दूरी रखी जा सकती है।,Crop,Guava,hi,guava.csv
बैंगन का 'छोटी पत्ती' (Little Leaf) रोग क्या है?,पत्तियां बहुत छोटी हो जाती हैं और झाड़ी जैसा रूप ले लेती हैं। यह फाइटोप्लाज्मा के कारण होता है।,Disease,Brinjal,hi,disease.csv
बैंगन का 'छोटी पत्ती' (Little Leaf) रोग क्या है?,यह फाइटोप्लाज्मा के कारण होता है। पत्तियां बहुत छोटी और गुच्छेदार हो जाती हैं। संक्रमित पौधों को तुरंत उखाड़कर जला दें।,Crop,Brinjal,hi,vegetables.csv
ब्रह्मास्त्र और अग्निस्त्र क्या हैं?,ये गौमूत्र और तीखी औषधियों से बनाए गए शक्तिशाली जैविक कीटनाशक हैं जो सुंडियों को मारने में प्रभावी हैं।,Business,Organic Farming,hi,organic_farming.csv
ब्रह्मास्त्र और अग्निस्त्र क्या हैं?,"ये गौमूत्र, नीम और अन्य तीखी औषधियों से बनाए गए जैविक घोल हैं जो सुंडियों और बड़े कीटों को मारने के काम आते हैं।",Plant Protection,General,hi,bio_control.csv
मृदा सौरीकरण (Soil Solarization) क्या है?,गर्मियों में पारदर्शी प्लास्टिक से गीली मिट्टी को ढकना ताकि सूरज की गर्मी से मिट्टी के हानिकारक कीट और बीमारी वाले कवक मर जाएं।,Soil,General,hi,soil.csv
मृदा सौरीकरण (Soil Solarization) क्या है?,गर्मियों में पारदर्शी प्लास्टिक से मिट्टी को ढकना ताकि सूरज की गर्मी से मिट्टी के कीड़े और कवक मर जाएं।,Plant Protection,General,hi,bio_control.csv
मृदा स्वास्थ्य कार्ड?,कार्ड में दी गई सिफारिश के अनुसार ही खाद डालें।,Crop,Rice,hi,rice.csv
मृदा स्वास्थ्य कार्ड?,"कार्ड में दी गई सिफारिश के अनुसार ही नाइट्रोजन, फास्फोरस और पोटाश डालें।",Crop,Rice,hi,rice.csv
राइजोबियम कल्चर (Rhizobium) क्या है?,यह दलहनी फसलों (दालों) के लिए एक विशेष बैक्टीरिया है जो जड़ों में गांठें बनाकर नाइट्रोजन फिक्सेशन करता है।,Soil,General,hi,soil.csv
राइजोबियम कल्चर (Rhizobium) क्या है?,यह एक जैव-उर्वरक है जो दलहनी फसलों की जड़ों में गांठें बनाकर हवा से नाइट्रोजन सोखने में मदद करता है।,Crop,Pulses,hi,pulses.csv
रोपाई के समय पौधों की दूरी क्या रखें?,पंक्ति से पंक्ति की दूरी 60-75 सेमी और पौधे से पौधे की दूरी 45-60 सेमी रखनी चाहिए।,Crop,Tomato,hi,tomato.csv
रोपाई के समय पौधों की दूरी क्या रखें?,पंक्ति से पंक्ति और पौधे से पौधे की दूरी 2 x 2 मीटर या 1.8 x 1.8 मीटर रखनी चाहिए।,Crop,Papaya,hi,papaya.csv
रोपाई के समय पौधों की दूरी क्या रखें?,किस्म के आधार पर 1.8 x 1.8 मीटर या 1.5 x 1.5 मीटर की दूरी रखनी चाहिए।,Crop,Banana,hi,banana.csv
रोपाई के समय पौधों की दूरी क्या रखें?,पंक्ति से पंक्ति 60-75 सेमी और पौधे से पौधे की दूरी 45-60 सेमी रखनी चाहिए।,Crop,Brinjal,hi,brinjal.csv
रोपाई के समय पौधों की दूरी क्या रखें?,खेत विधि में पंक्ति से पंक्ति और पौधे से पौधे की दूरी 1.2 x 1.2 मीटर रखनी चाहिए।,Crop,Makhana,hi,makhana.csv
रोपाई के समय पौधों की दूरी क्या रखें?,पंक्ति से पंक्ति 45-60 सेमी और पौधे से पौधे की दूरी 30-45 सेमी रखनी चाहिए।,Crop,Chilli,hi,chilli.csv
रोपाई के समय पौधों की दूरी क्या रखें?,किस्म के आधार पर 45 x 45 सेमी या 60 x 45 सेमी की दूरी रखनी चाहिए।,Crop,Cabbage,hi,cabbage.csv
रोपाई के समय पौधों की दूरी क्या रखें?,अगेती किस्मों के लिए 45 x 30 सेमी और मध्यम/पछेती के लिए 60 x 45 सेमी की दूरी रखनी चाहिए।,Crop,Cauliflower,hi,cauliflower.csv
वेस्ट डीकम्पोजर (Waste Decomposer) क्या है?,यह सूक्ष्मजीवों का एक घोल है जो फसल अवशेषों और गोबर को मात्र 40-50 दिनों में उच्च गुणवत्ता वाली खाद में बदल देता है।,Business,Organic Farming,hi,organic_farming.csv
वेस्ट डीकम्पोजर (Waste Decomposer) क्या है?,यह फसल अवशेषों और गोबर को जल्दी सड़ाकर खाद बनाने के लिए उपयोग किया जाने वाला सूक्ष्मजीवों का घोल है।,Fertilizer,General,hi,fertilizer.csv
सरसों की 'मड़ाई' के बाद 'अनाज' की पैकिंग?,सरसों के लिए जूट के बोरे सबसे अच्छे हैं क्योंकि ये नमी को सोखते नहीं हैं।,Crop,Mustard,hi,mustard.csv
सरसों की 'मड़ाई' के बाद 'अनाज' की पैकिंग?,बोरों को ठंडी और सूखी जगह पर ही रखें।,Crop,Mustard,hi,mustard.csv
सरसों की 'सघन' खेती in 'कीट' प्रबंधन?,माहू का हमला होने पर तुरंत पूरे खेत में स्प्रे करें।,Crop,Mustard,hi,mustard.csv
सरसों की 'सघन' खेती in 'कीट' प्रबंधन?,घनी फसल में माहू को नियंत्रित करने के लिए मशीनी स्प्रेयर का प्रयोग करें।,Crop,Mustard,hi,mustard.csv
