Question,Top-1,Top-3,Top-5,Search_Time_ms
गन्ने में 'बंधाई' (Propping/Tying) क्यों जरूरी है?,True,True,True,2.227783203125
हल्दी में 'चूहों' के बिलों में 'धुआं'?,True,True,True,2.515554428100586
मुर्गियों में 'चोंच काटना' (Debeaking) क्यों जरूरी है?,True,True,True,2.1364688873291016
क्या बिना ट्रैक्टर के भी मशीनीकरण संभव है?,True,True,True,2.22015380859375
क्या बिहार में मटर की खेती सफल है?,True,True,True,3.2799243927001953
राइजोबियम कल्चर (Rhizobium) का मटर में क्या लाभ है?,True,True,True,2.881765365600586
पूसा बासमती 1509?,True,True,True,1.0764598846435547
कुफरी कंचन किस्म की विशेषता?,True,True,True,2.0856857299804688
सब्जियों की खेती में विशेषज्ञों की अंतिम सलाह?,True,True,True,2.6373863220214844
हल्दी की 'मेघालय' किस्में (जैसे Lakadong)?,True,True,True,1.9550323486328125
'धान का शीथ ब्लाइट' और 'यूरिया'?,True,True,True,1.918792724609375
टमाटर में 'पोटाश' की कमी से 'स्टार्च' निर्माण?,True,True,True,2.651214599609375
मिर्च में 'जिंक सल्फेट' का छिड़काव?,False,False,False,2.317190170288086
फूलों के बाग में 'मल्चिंग' के लाभ?,True,True,True,2.4199485778808594
'अरहर में बांझपन रोग' और 'मकड़ी'?,True,True,True,2.1238327026367188
पपीते के बाग में 'मधुमक्खी पालन'?,True,True,True,2.3627281188964844
